"Treatment","ID","PIC","Head_area","Tail_area","Head_DNA","Tail_DNA","Head_DNA_.","Tail_DNA_.","Head_Radius","Tail_Length","Comet_lenght","Olive_Tail_Moment"
"control","1Con","1Con - 1",3953,39,"1442,62","1,7289500","99,8803","0,11970",35,3,74,"0,042379500"
"control","1Con","1Con - 1",3969,477,"1623,53","32,8587000","98,0162","1,98375",36,7,80,"0,655631000"
"control","1Con","1Con - 1",4550,279,"1700,69","14,0243000","99,1821","0,81788",38,4,81,"0,251187000"
"control","1Con","1Con - 1",4331,313,"1566,03","18,8401000","98,8112","1,18875",37,7,82,"0,429961000"
"control","1Con","1Con - 1",4623,728,"1347,92","75,9220000","94,6678","5,33219",38,4,81,"1,238180000"
"control","1Con","1Con - 2",4155,162,"1534,20","8,0754900","99,4764","0,52361",36,4,77,"0,186328000"
"control","1Con","1Con - 2",4169,274,"1465,81","14,9833000","98,9882","1,01184",36,5,78,"0,323868000"
"control","1Con","1Con - 2",3447,304,"1188,70","18,2608000","98,4870","1,51297",33,8,75,"0,502326000"
"control","1Con","1Con - 2",4062,194,"1387,80","10,3946000","99,2566","0,74343",36,3,76,"0,206898000"
"control","1Con","1Con - 2",3997,265,"1475,75","15,8949000","98,9344","1,06560",35,6,77,"0,370392000"
"control","1Con","1Con - 2",4263,53,"1247,75","2,2939600","99,8165","0,18351",37,3,78,"0,067882600"
"control","1Con","1Con - 3",3833,461,"1603,40","43,4338000","97,3626","2,63741",35,10,81,"0,917920000"
"control","1Con","1Con - 3",4339,135,"1600,17","6,6042900","99,5890","0,41103",37,7,82,"0,149805000"
"control","1Con","1Con - 3",3921,325,"1457,72","19,3152000","98,6923","1,30770",35,7,78,"0,452455000"
"control","1Con","1Con - 3",3930,306,"1353,30","16,8066000","98,7733","1,22666",35,7,78,"0,425795000"
"control","1Con","1Con - 3",3706,2,"1178,11","0,0374897","99,9968","0,00318",34,3,72,"0,001162790"
"control","1Con","1Con - 3",3919,202,"1335,14","10,0968000","99,2494","0,75056",35,5,76,"0,259919000"
"control","1Con","1Con - 4",3936,208,"1553,03","13,4258000","99,1429","0,85708",35,5,76,"0,285343000"
"control","1Con","1Con - 4",4840,267,"1859,92","17,6907000","99,0578","0,94219",39,6,85,"0,338218000"
"control","1Con","1Con - 4",3906,144,"1358,81","6,6301500","99,5144","0,48557",35,3,74,"0,149838000"
"control","1Con","1Con - 4",4119,406,"1651,22","33,5941000","98,0061","1,99393",36,8,81,"0,669561000"
"control","1Con","1Con - 4",4372,407,"1725,99","28,2599000","98,3891","1,61094",37,8,83,"0,548243000"
"control","1Con","1Con - 4",4874,272,"1844,42","15,2157000","99,1818","0,81821",39,4,83,"0,295512000"
"control","1Con","1Con - 4",5151,134,"1923,02","6,2711600","99,6750","0,32505",40,5,86,"0,128027000"
"control","1Con","1Con - 4",4422,226,"1682,26","13,0281000","99,2315","0,76849",37,6,81,"0,279702000"
"control","1Con","1Con - 4",3707,232,"1383,58","12,3341000","99,1164","0,88359",34,6,75,"0,289815000"
"control","1Con","1Con - 5",4365,166,"1621,71","10,2111000","99,3743","0,62571",37,5,80,"0,229119000"
"control","1Con","1Con - 5",4580,70,"1767,05","3,6302200","99,7950","0,20502",38,4,81,"0,077905900"
"control","1Con","1Con - 5",5150,146,"1740,54","6,5666200","99,6241","0,37586",40,5,86,"0,147202000"
"control","1Con","1Con - 5",4619,112,"1539,52","5,4368100","99,6481","0,35191",38,4,81,"0,134323000"
"control","1Con","1Con - 5",4433,402,"1657,93","25,4403000","98,4887","1,51127",37,7,82,"0,481186000"
"control","1Con","1Con - 6",3158,12831,"248,65","625,2630000","28,4521","71,54790",32,166,231,"73,566800000"
"control","1Con","1Con - 6",4614,267,"1786,19","16,4305000","99,0885","0,91148",38,6,83,"0,325809000"
"control","1Con","1Con - 6",4676,342,"1735,22","23,0896000","98,6868","1,31317",38,9,86,"0,488227000"
"control","1Con","1Con - 7",4584,2,"1605,71","0,0314278","99,9980","0,00196",38,3,80,"0,000783180"
"control","1Con","1Con - 7",4593,145,"1617,51","7,2913600","99,5512","0,44875",38,4,81,"0,165902000"
"control","1Con","1Con - 7",3976,435,"1504,60","31,7560000","97,9330","2,06697",35,11,82,"0,714632000"
"control","1Con","1Con - 7",4303,296,"1556,26","15,3061000","99,0261","0,97394",37,4,79,"0,270253000"
"control","1Con","1Con - 7",4171,347,"1482,36","20,2179000","98,6544","1,34555",36,7,80,"0,464069000"
"control","1Con","1Con - 7",4186,406,"1516,29","24,7224000","98,3957","1,60429",36,9,82,"0,564065000"
"control","1Con","1Con - 8",4414,443,"1516,31","24,3671000","98,4184","1,58159",37,9,84,"0,566478000"
"control","1Con","1Con - 8",4184,439,"1464,90","26,0413000","98,2534","1,74664",36,8,81,"0,608151000"
"control","1Con","1Con - 8",3363,261,"1246,53","12,6674000","98,9940","1,00599",35,5,76,"0,271072000"
"control","1Con","1Con - 8",3756,541,"1327,78","41,3006000","96,9833","3,01666",34,12,81,"1,017270000"
"control","1Con","1Con - 10",4058,2,"1420,55","0,0203999","99,9986","0,00144",36,3,76,"0,000542201"
"control","1Con","1Con - 10",3911,840,"1588,96","76,6755000","95,3966","4,60338",35,19,90,"1,632400000"
"control","1Con","1Con - 10",4356,503,"1733,90","37,5714000","97,8791","2,12091",37,9,84,"0,735845000"
"control","1Con","1Con - 10",4844,316,"1860,64","19,8650000","98,9436","1,05636",39,8,87,"0,414141000"
"control","1Con","1Con - 10",3697,628,"1609,30","60,9463000","96,3511","3,64895",34,11,80,"1,130760000"
"control","1Con","1Con - 10",3973,525,"1647,16","39,5003000","97,6581","2,34192",35,9,80,"0,734291000"
"control","1Con","1Con - 10",3819,694,"1677,02","53,8445000","96,8891","3,11085",35,10,81,"0,884607000"
"control","1Con","1Con - 10",3504,288,"1369,45","22,2076000","98,4042","1,59577",33,7,74,"0,472292000"
"control","1Con","1Con - 10",4158,380,"1607,70","24,4879000","98,4997","1,50031",36,7,80,"0,497471000"
"control","2Con","2Con - 1",4281,275,"2028,36","19,1773000","99,0634","0,93660",37,5,80,"0,316003000"
"control","2Con","2Con - 1",4641,558,"2151,44","46,0149000","97,9060","2,09401",38,9,86,"0,688696000"
"control","2Con","2Con - 1",4142,268,"1879,18","16,2490000","99,1427","0,85727",36,5,78,"0,240350000"
"control","2Con","2Con - 1",3959,2,"1644,29","0,0314026","99,9981","0,00191",36,3,76,"0,000724558"
"control","2Con","2Con - 1",4211,106,"1941,27","5,8024100","99,7020","0,29801",37,3,78,"0,092470200"
"control","2Con","2Con - 1",3907,629,"1866,05","58,9366000","96,9383","3,06167",35,10,81,"0,941030000"
"control","2Con","2Con - 1",4334,537,"1922,00","52,7461000","97,3290","2,67103",37,13,88,"1,017820000"
"control","2Con","2Con - 1",5577,1788,"1732,68","99,3259000","94,5783","5,42170",42,40,125,"2,479390000"
"control","2Con","2Con - 1",3250,780,"1531,87","118,8750000","92,7987","7,20129",32,18,83,"2,334070000"
"control","2Con","2Con - 1",4461,2,"1816,74","0,0305374","99,9983","0,00168",38,3,80,"0,000680514"
"control","2Con","2Con - 1",4559,735,"2094,16","71,4103000","96,7025","3,29753",38,14,91,"1,229950000"
"control","2Con","2Con - 1",1122,16867,"74,10","646,0050000","10,2900","89,71000",19,247,286,"132,219000000"
"control","2Con","2Con - 1",3553,823,"1887,42","98,4683000","95,0416","4,95840",35,16,87,"1,669410000"
"control","2Con","2Con - 1",3763,363,"1679,62","27,6700000","98,3793","1,62069",35,9,80,"0,533280000"
"control","2Con","2Con - 1",4168,332,"1968,56","22,7102000","98,8595","1,14048",36,7,80,"0,370885000"
"control","2Con","2Con - 2",4355,365,"1781,39","22,7887000","98,7369","1,26311",37,8,83,"0,422362000"
"control","2Con","2Con - 2",4085,557,"1742,16","43,9223000","97,5409","2,45914",36,10,83,"0,839928000"
"control","2Con","2Con - 2",3962,528,"1679,83","42,6810000","97,5222","2,47784",35,13,84,"0,854046000"
"control","2Con","2Con - 2",3850,2,"1467,80","0,0291889","99,9980","0,00199",35,3,74,"0,000750445"
"control","2Con","2Con - 2",3803,496,"1684,13","41,6342000","97,5875","2,41251",36,10,83,"0,823523000"
"control","2Con","2Con - 2",4747,500,"1994,31","32,0418000","98,4187","1,58126",40,9,90,"0,582111000"
"control","2Con","2Con - 2",4101,592,"1786,22","53,7757000","97,0774","2,92260",37,12,87,"1,024740000"
"control","2Con","2Con - 2",3983,539,"1763,07","38,9539000","97,8383","2,16168",36,11,84,"0,759303000"
"control","2Con","2Con - 2",3980,483,"1816,15","32,3804000","98,2483","1,75169",37,9,84,"0,582693000"
"control","2Con","2Con - 2",4068,152,"1630,05","8,4400200","99,4849","0,51511",36,5,78,"0,175746000"
"control","2Con","2Con - 3",4602,370,"1961,06","24,5505000","98,7636","1,23642",38,9,86,"0,453987000"
"control","2Con","2Con - 3",3530,965,"1880,76","107,4750000","94,5944","5,40555",34,14,83,"1,730060000"
"control","2Con","2Con - 3",4768,7688,"2323,69","565,4300000","80,4290","19,57100",40,134,215,"16,731400000"
"control","2Con","2Con - 3",4328,278,"1759,49","17,4937000","99,0155","0,98446",37,5,80,"0,333191000"
"control","2Con","2Con - 3",4000,539,"1881,23","42,8887000","97,7710","2,22901",36,11,84,"0,803992000"
"control","2Con","2Con - 3",3331,577,"1607,34","48,1509000","97,0914","2,90856",33,9,76,"0,822610000"
"control","2Con","2Con - 3",4127,389,"1783,93","33,9454000","98,1327","1,86731",36,10,83,"0,675302000"
"control","2Con","2Con - 3",3259,428,"1530,37","41,2261000","97,3768","2,62320",32,9,74,"0,837885000"
"control","2Con","2Con - 3",4371,319,"1811,65","19,4532000","98,9376","1,06238",37,7,82,"0,358074000"
"control","2Con","2Con - 3",4729,121,"1880,83","5,9431800","99,6850","0,31499",39,8,87,"0,128393000"
"control","2Con","2Con - 3",5617,3352,"1250,65","196,8410000","86,4012","13,59880",44,42,131,"7,610980000"
"control","2Con","2Con - 3",5516,652,"2223,37","36,7900000","98,3722","1,62776",43,12,99,"0,650269000"
"control","2Con","2Con - 3",4150,398,"1761,89","32,2590000","98,2020","1,79801",36,11,84,"0,658533000"
"control","2Con","2Con - 3",3470,173,"1499,48","11,5720000","99,2342","0,76582",33,5,72,"0,223846000"
"control","2Con","2Con - 3",4596,554,"1963,16","41,5961000","97,9251","2,07487",38,14,91,"0,785661000"
"control","2Con","2Con - 4",4806,364,"2276,89","22,8517000","99,0063","0,99366",39,6,85,"0,339260000"
"control","2Con","2Con - 4",4135,600,"2044,17","51,2001000","97,5565","2,44349",36,10,83,"0,825560000"
"control","2Con","2Con - 4",6599,1280,"3752,18","283,5360000","92,9743","7,02568",48,23,120,"3,537320000"
"control","2Con","2Con - 4",4800,8107,"1218,59","584,6160000","67,5790","32,42100",40,113,194,"26,005200000"
"control","2Con","2Con - 4",4573,754,"2211,03","88,3486000","96,1577","3,84229",38,17,94,"1,507440000"
"control","2Con","2Con - 4",4215,401,"1737,30","35,5715000","97,9936","2,00643",37,11,86,"0,779635000"
"control","2Con","2Con - 4",5024,291,"2500,87","18,3512000","99,2716","0,72845",40,4,85,"0,264410000"
"control","2Con","2Con - 4",4235,2,"1949,00","0,0379403","99,9981","0,00195",39,3,82,"0,000771259"
"control","2Con","2Con - 5",4652,528,"2103,13","41,3550000","98,0716","1,92844",38,10,87,"0,701068000"
"control","2Con","2Con - 5",4831,583,"2143,86","45,4155000","97,9255","2,07446",39,11,90,"0,764200000"
"control","2Con","2Con - 5",4381,520,"2076,46","44,8001000","97,8880","2,11196",37,10,85,"0,739686000"
"control","2Con","2Con - 5",4388,378,"2095,20","28,1852000","98,6726","1,32737",37,6,81,"0,450003000"
"control","2Con","2Con - 5",3387,359,"1721,78","30,5165000","98,2585","1,74151",33,5,72,"0,501378000"
"control","2Con","2Con - 5",4717,415,"2197,31","30,4574000","98,6328","1,36717",39,7,86,"0,483067000"
"control","2Con","2Con - 5",4363,476,"2027,68","44,9222000","97,8326","2,16743",37,10,85,"0,799071000"
"control","2Con","2Con - 5",4512,273,"2086,04","18,8237000","99,1057","0,89430",38,6,83,"0,271267000"
"control","2Con","2Con - 5",4306,59,"1949,08","3,1084300","99,8408","0,15923",37,3,78,"0,059199200"
"control","2Con","2Con - 5",4889,502,"1661,19","26,6752000","98,4196","1,58041",39,10,89,"0,568860000"
"control","2Con","2Con - 6",5136,2,"2072,45","0,0269383","99,9987","0,00130",41,3,86,"0,000573868"
"control","2Con","2Con - 6",4921,579,"2276,37","47,5713000","97,9530","2,04701",39,11,90,"0,765591000"
"control","2Con","2Con - 6",4193,127,"1981,32","8,1006200","99,5928","0,40719",36,3,76,"0,138829000"
"control","2Con","2Con - 6",4855,470,"2292,76","38,0836000","98,3661","1,63390",39,8,87,"0,586261000"
"control","2Con","2Con - 6",4036,337,"2044,02","24,8777000","98,7975","1,20246",36,6,79,"0,372004000"
"control","2Con","2Con - 6",5240,1273,"1973,92","93,0200000","95,4996","4,50038",41,19,102,"1,864500000"
"control","2Con","2Con - 6",4856,100,"2215,03","5,4720000","99,7536","0,24643",40,3,84,"0,085115100"
"control","2Con","2Con - 6",4560,669,"2177,91","62,5979000","97,2061","2,79392",38,13,90,"1,043710000"
"control","2Con","2Con - 6",4041,377,"1587,90","22,0513000","98,6303","1,36969",36,7,80,"0,447842000"
"control","2Con","2Con - 6",3927,603,"1996,98","56,7104000","97,2386","2,76139",36,7,80,"0,682856000"
"control","2Con","2Con - 6",3901,525,"1859,41","47,5750000","97,5052","2,49478",35,9,80,"0,671689000"
"control","2Con","2Con - 6",4750,402,"2187,82","28,1942000","98,7277","1,27229",39,6,85,"0,346586000"
"control","2Con","2Con - 7",5576,34,"2277,40","1,5652300","99,9313","0,06868",43,3,90,"0,029498600"
"control","2Con","2Con - 7",4938,567,"2226,99","43,7250000","98,0744","1,92560",40,6,87,"0,584512000"
"control","2Con","2Con - 7",4606,556,"2100,05","48,0335000","97,7639","2,23611",39,8,87,"0,816549000"
"control","2Con","2Con - 7",5876,392,"2311,59","22,7364000","99,0260","0,97400",43,4,91,"0,352307000"
"control","2Con","2Con - 7",5090,308,"2075,05","22,0153000","98,9502","1,04982",40,6,87,"0,387280000"
"control","2Con","2Con - 7",4936,378,"2191,08","24,7987000","98,8809","1,11914",40,6,87,"0,392200000"
"control","2Con","2Con - 7",4637,76,"1914,14","3,9225300","99,7955","0,20451",38,3,80,"0,077716000"
"control","2Con","2Con - 7",4577,131,"1907,93","7,8955300","99,5879","0,41212",38,4,81,"0,159192000"
"control","2Con","2Con - 7",5304,346,"2257,07","23,6496000","98,9631","1,03694",41,6,89,"0,388510000"
"control","2Con","2Con - 7",4642,448,"2039,00","30,4576000","98,5282","1,47177",38,6,83,"0,464562000"
"control","2Con","2Con - 7",4898,285,"2054,52","19,3939000","99,0649","0,93514",39,6,85,"0,351492000"
"control","2Con","2Con - 7",5061,561,"2184,37","46,4405000","97,9182","2,08178",40,11,92,"0,831996000"
"control","2Con","2Con - 8",4884,285,"1975,45","17,0951000","99,1420","0,85796",39,5,84,"0,306144000"
"control","2Con","2Con - 8",4369,301,"1827,54","17,2968000","99,0624","0,93758",37,4,79,"0,268824000"
"control","2Con","2Con - 8",3503,360,"1519,15","32,0762000","97,9322","2,06779",33,9,76,"0,686658000"
"control","2Con","2Con - 8",5097,157,"2052,04","8,4964300","99,5877","0,41234",40,3,84,"0,151439000"
"control","2Con","2Con - 8",4366,508,"1879,40","40,2455000","97,9035","2,09651",37,10,85,"0,766017000"
"control","2Con","2Con - 8",5049,330,"2060,76","22,6572000","98,9125","1,08750",40,7,88,"0,425162000"
"control","2Con","2Con - 8",4379,897,"2045,24","211,9970000","90,6081","9,39187",38,17,94,"3,767380000"
"control","2Con","2Con - 8",5133,485,"2099,76","30,7182000","98,5582","1,44185",40,6,87,"0,484751000"
"control","2Con","2Con - 8",4790,119,"1824,69","6,4224500","99,6493","0,35074",39,3,82,"0,131761000"
"control","2Con","2Con - 8",4173,2,"1612,38","0,0294675","99,9982","0,00183",37,3,78,"0,000716152"
"control","2Con","2Con - 8",4637,382,"1889,52","23,4223000","98,7756","1,22441",38,6,83,"0,399833000"
"control","2Con","2Con - 8",4072,141,"1624,50","7,8890500","99,5167","0,48328",36,3,76,"0,119517000"
"control","2Con","2Con - 8",4880,342,"1965,76","21,6427000","98,9110","1,08899",39,7,86,"0,405380000"
"control","2Con","2Con - 8",4547,422,"1870,93","33,9904000","98,2157","1,78435",38,10,87,"0,668023000"
"control","2Con","2Con - 8",3227,290,"1384,85","26,3120000","98,1354","1,86456",32,8,73,"0,598559000"
"control","2Con","2Con - 8",3723,372,"1543,34","24,0693000","98,4644","1,53562",34,6,75,"0,467820000"
"control","2Con","2Con - 8",3702,316,"1629,59","25,8435000","98,4389","1,56113",34,8,77,"0,522901000"
"control","2Con","2Con - 8",3887,316,"1688,33","23,3877000","98,6337","1,36633",35,6,77,"0,423567000"
"control","2Con","2Con - 8",4355,591,"1935,31","58,2027000","97,0804","2,91961",37,12,87,"1,047420000"
"control","2Con","2Con - 8",4162,242,"1751,87","16,7958000","99,0504","0,94963",36,6,79,"0,334819000"
"control","2Con","2Con - 8",4295,387,"1825,09","33,2020000","98,2133","1,78669",37,7,82,"0,590529000"
"control","2Con","2Con - 8",4366,445,"1777,91","33,2159000","98,1660","1,83399",37,11,86,"0,641181000"
"control","2Con","2Con - 8",3913,153,"1576,46","8,3485500","99,4732","0,52679",35,4,75,"0,181735000"
"control","2Con","2Con - 9",4358,2,"1467,94","0,0485207","99,9967","0,00331",37,3,78,"0,001295940"
"control","2Con","2Con - 9",3941,365,"1727,51","21,3987000","98,7765","1,22354",37,5,80,"0,372044000"
"control","2Con","2Con - 9",3945,283,"1614,19","21,6486000","98,6766","1,32339",36,8,81,"0,472447000"
"control","2Con","2Con - 9",4183,511,"1735,62","40,6703000","97,7104","2,28963",36,10,83,"0,806773000"
"control","2Con","2Con - 9",4336,165,"1702,91","8,7327200","99,4898","0,51019",38,3,80,"0,170818000"
"control","2Con","2Con - 9",4386,515,"1812,02","43,7753000","97,6412","2,35884",37,12,87,"0,889942000"
"control","2Con","2Con - 9",4355,323,"1752,47","20,5522000","98,8408","1,15916",37,7,82,"0,395049000"
"control","2Con","2Con - 9",3451,626,"1453,33","59,4773000","96,0684","3,93159",33,15,82,"1,341740000"
"control","2Con","2Con - 9",4007,2,"1519,32","0,0161129","99,9989","0,00106",36,3,76,"0,000406751"
"control","2Con","2Con - 9",4395,20,"1501,08","0,7771270","99,9483","0,05174",37,3,78,"0,019540700"
"control","2Con","2Con - 9",2548,1758,"1130,73","385,1570000","74,5920","25,40800",29,22,81,"5,779240000"
"control","2Con","2Con - 9",4589,240,"1830,38","15,1218000","99,1806","0,81939",38,5,82,"0,309740000"
"control","2Con","2Con - 9",4114,395,"1690,12","34,4328000","98,0034","1,99662",36,9,82,"0,734526000"
"control","2Con","2Con - 9",4396,418,"1806,75","26,2349000","98,5687","1,43126",37,7,82,"0,491150000"
"control","2Con","2Con - 9",4107,517,"1761,72","44,4539000","97,5388","2,46122",36,11,84,"0,899547000"
"control","2Con","2Con - 10",4812,77,"1683,80","3,4812300","99,7937","0,20632",39,3,82,"0,080498500"
"control","2Con","2Con - 10",3702,422,"1496,41","30,4134000","98,0081","1,99194",34,8,77,"0,633012000"
"control","2Con","2Con - 10",4035,172,"1466,61","8,7110800","99,4095","0,59045",36,3,76,"0,135692000"
"control","2Con","2Con - 10",3704,281,"1425,95","17,3641000","98,7969","1,20308",34,5,74,"0,353236000"
"control","2Con","2Con - 10",4921,191,"1291,74","8,2024200","99,3690","0,63099",39,4,83,"0,225960000"
"control","2Con","2Con - 10",4129,345,"1621,31","25,6793000","98,4408","1,55916",36,8,81,"0,554538000"
"control","2Con","2Con - 10",4710,1909,"2177,44","174,6090000","92,5763","7,42372",39,27,106,"2,876640000"
"control","2Con","2Con - 10",3911,2,"1405,26","0,0199366","99,9986","0,00142",35,3,74,"0,000534087"
"control","2Con","2Con - 10",5108,7779,"692,47","400,6640000","63,3471","36,65290",40,101,182,"27,466900000"
"control","2Con","2Con - 10",4331,506,"1675,60","39,5170000","97,6960","2,30404",37,12,87,"0,874553000"
"control","2Con","2Con - 10",4653,304,"1756,77","17,6128000","99,0074","0,99261",38,6,83,"0,349902000"
"control","2Con","2Con - 10",4791,291,"1735,31","16,6377000","99,0503","0,94967",39,8,87,"0,359808000"
"control","2Con","2Con - 10",4083,191,"1524,53","9,6619600","99,3702","0,62978",36,3,76,"0,205567000"
"control","2Con","2Con - 10",4160,530,"1623,59","42,1144000","97,4717","2,52833",36,13,86,"0,928611000"
"control","2Con","2Con - 10",4403,418,"1719,04","26,4763000","98,4832","1,51682",37,8,83,"0,529033000"
"control","2Con","2Con - 10",4146,462,"1670,87","32,3214000","98,1023","1,89770",36,8,81,"0,623708000"
"control","3Con","3Con - 2",3523,199,"1792,91","14,3937000","99,2036","0,79642",33,5,72,"0,256698000"
"control","3Con","3Con - 2",3072,114,"1427,67","7,0984700","99,5053","0,49475",31,5,68,"0,158019000"
"control","3Con","3Con - 2",3433,168,"1780,96","13,7408000","99,2344","0,76563",33,3,70,"0,209455000"
"control","3Con","3Con - 2",3535,66,"1690,77","3,5806000","99,7887","0,21133",33,3,70,"0,065765800"
"control","3Con","3Con - 2",3477,186,"1760,68","12,6565000","99,2863","0,71371",33,3,70,"0,192511000"
"control","3Con","3Con - 2",2833,195,"1483,92","16,5204000","98,8990","1,10104",30,6,67,"0,333114000"
"control","3Con","3Con - 2",3702,133,"1769,60","8,8681700","99,5014","0,49864",34,3,72,"0,153822000"
"control","3Con","3Con - 2",2947,304,"1491,21","28,5952000","98,1185","1,88151",30,8,69,"0,524050000"
"control","3Con","3Con - 2",3426,2,"1787,55","0,0489491","99,9973","0,00274",33,3,70,"0,000953608"
"control","3Con","3Con - 2",3488,72,"1716,82","3,8771000","99,7750","0,22497",33,3,70,"0,071802400"
"control","3Con","3Con - 2",3495,178,"1778,73","11,7912000","99,3415","0,65854",33,5,72,"0,218658000"
"control","3Con","3Con - 2",3655,431,"2041,30","30,1957000","98,5423","1,45768",35,7,78,"0,395076000"
"control","3Con","3Con - 2",4116,460,"1632,16","27,1884000","98,3615","1,63850",36,13,86,"0,523206000"
"control","3Con","3Con - 2",3568,120,"1818,08","7,3341000","99,5982","0,40178",34,3,72,"0,123096000"
"control","3Con","3Con - 2",3677,2,"1561,14","0,0468001","99,9970","0,00300",34,3,72,"0,001096480"
"control","3Con","3Con - 2",3698,159,"1790,32","10,8354000","99,3984","0,60158",34,3,72,"0,189747000"
"control","3Con","3Con - 2",3908,22,"1817,77","1,1027900","99,9394","0,06063",35,3,74,"0,021343400"
"control","3Con","3Con - 2",3737,2,"1867,21","0,0491757","99,9974","0,00263",34,3,72,"0,000954524"
"control","3Con","3Con - 2",3316,109,"1687,08","6,5216200","99,6149","0,38507",32,3,68,"0,117161000"
"control","3Con","3Con - 2",3631,2,"1848,90","0,0588326","99,9968","0,00318",34,3,72,"0,001136350"
"control","3Con","3Con - 2",4093,449,"1550,83","40,0667000","97,4815","2,51850",36,9,82,"0,797617000"
"control","3Con","3Con - 2",3438,154,"1697,54","9,4262600","99,4478","0,55222",33,4,71,"0,177225000"
"control","3Con","3Con - 2",3719,130,"1914,24","8,9449000","99,5349","0,46511",34,5,74,"0,162536000"
"control","3Con","3Con - 2",2950,21,"1473,00","1,0284100","99,9302","0,06977",30,3,64,"0,021250800"
"control","3Con","3Con - 2",3275,222,"1794,15","17,4643000","99,0360","0,96402",32,4,69,"0,289110000"
"control","3Con","3Con - 2",4792,6132,"1312,90","315,4940000","80,6255","19,37450",39,131,210,"16,046600000"
"control","3Con","3Con - 2",3519,222,"1785,04","15,2203000","99,1545","0,84545",33,5,72,"0,271063000"
"control","3Con","3Con - 2",3091,160,"1548,02","10,8348000","99,3050","0,69505",31,5,68,"0,198468000"
"control","3Con","3Con - 2",3286,114,"1549,43","6,7293500","99,5676","0,43243",32,4,69,"0,138389000"
"control","3Con","3Con - 2",3423,292,"1780,41","23,0118000","98,7240","1,27601",33,8,75,"0,422783000"
"control","3Con","3Con - 2",3137,2,"1568,80","0,0667435","99,9957","0,00425",32,3,68,"0,001440370"
"control","3Con","3Con - 2",2732,196,"1385,55","17,5515000","98,7491","1,25091",29,6,65,"0,342542000"
"control","3Con","3Con - 2",3047,324,"1657,23","28,7510000","98,2947","1,70530",31,7,70,"0,485095000"
"control","3Con","3Con - 2",3264,111,"1598,25","6,4100100","99,6005","0,39946",32,3,68,"0,117348000"
"control","3Con","3Con - 3",3749,2,"1713,12","0,0546828","99,9968","0,00319",34,3,72,"0,001161170"
"control","3Con","3Con - 3",3854,81,"1912,27","4,8119000","99,7490","0,25100",35,3,74,"0,087723700"
"control","3Con","3Con - 3",3707,155,"1869,41","9,3717100","99,5012","0,49882",34,3,72,"0,148626000"
"control","3Con","3Con - 3",3716,156,"1571,65","9,4499200","99,4023","0,59768",34,3,72,"0,168345000"
"control","3Con","3Con - 3",3746,132,"1789,85","7,4131600","99,5875","0,41247",34,3,72,"0,123982000"
"control","3Con","3Con - 3",4184,24,"1999,56","1,2217600","99,9389","0,06106",36,3,76,"0,022274700"
"control","3Con","3Con - 3",3719,266,"1809,18","18,6494000","98,9797","1,02031",34,6,75,"0,312175000"
"control","3Con","3Con - 3",4056,244,"1997,79","15,9103000","99,2099","0,79011",36,5,78,"0,253407000"
"control","3Con","3Con - 3",4363,138,"2026,64","8,2705100","99,5936","0,40643",37,5,80,"0,154041000"
"control","3Con","3Con - 3",4166,267,"1828,03","18,3931000","99,0039","0,99615",36,8,81,"0,373354000"
"control","3Con","3Con - 3",4167,404,"1826,42","25,3824000","98,6293","1,37068",36,6,79,"0,408092000"
"control","3Con","3Con - 3",4541,67,"2058,59","3,3970300","99,8353","0,16475",38,3,80,"0,057889200"
"control","3Con","3Con - 3",3542,276,"1734,06","18,6191000","98,9377","1,06233",33,6,73,"0,301291000"
"control","3Con","3Con - 3",4702,2,"2084,17","0,0334343","99,9984","0,00160",39,3,82,"0,000666903"
"control","3Con","3Con - 3",3663,277,"1814,59","20,8611000","98,8634","1,13657",34,8,77,"0,386060000"
"control","3Con","3Con - 3",3915,136,"1779,92","9,2627500","99,4823","0,51771",35,5,76,"0,184253000"
"control","3Con","3Con - 3",3498,247,"1697,93","18,2133000","98,9387","1,06130",33,5,72,"0,289181000"
"control","3Con","3Con - 3",4028,130,"1807,38","7,2157100","99,6024","0,39765",36,3,76,"0,110479000"
"control","3Con","3Con - 3",3990,206,"1989,56","14,9301000","99,2552","0,74483",35,6,77,"0,253601000"
"control","3Con","3Con - 3",4379,187,"2058,89","10,7528000","99,4805","0,51955",37,5,80,"0,178715000"
"control","3Con","3Con - 3",4115,227,"1943,21","14,6755000","99,2504","0,74956",36,5,78,"0,248378000"
"control","3Con","3Con - 3",3654,330,"1809,92","28,7781000","98,4349","1,56513",34,9,78,"0,528401000"
"control","3Con","3Con - 3",3935,192,"1916,51","12,2586000","99,3644","0,63557",35,5,76,"0,217435000"
"control","3Con","3Con - 3",3690,363,"1625,87","22,7421000","98,6205","1,37947",34,11,80,"0,495187000"
"control","3Con","3Con - 3",3875,415,"1723,63","36,7782000","97,9108","2,08919",35,10,81,"0,735107000"
"control","3Con","3Con - 3",3674,272,"1686,55","18,6354000","98,9071","1,09287",34,7,76,"0,349739000"
"control","3Con","3Con - 4",3385,61,"1711,20","3,3983100","99,8018","0,19820",35,3,74,"0,061523700"
"control","3Con","3Con - 4",3627,20,"1565,42","0,9615370","99,9386","0,06139",34,3,72,"0,021306500"
"control","3Con","3Con - 4",3427,799,"1605,13","81,0683000","95,1923","4,80774",34,50,119,"2,171630000"
